datetime_nano,price,direction
2022-01-24 14:44:00,6996.0,sell
2022-01-24 14:48:00,6998.8,buy
2022-01-24 14:57:00,6997.0,sell
2022-01-25 10:02:00,6937.6,buy
2022-01-25 10:04:00,6926.4,sell
2022-01-25 10:23:00,6910.8,buy
2022-01-25 10:27:00,6896.8,sell
2022-01-25 10:36:00,6889.6,buy
2022-01-25 10:49:00,6886.0,sell
2022-01-25 10:55:00,6897.2,buy
2022-01-25 11:04:00,6905.4,sell
2022-01-25 11:19:00,6883.0,buy
2022-01-25 11:21:00,6884.6,sell
2022-01-25 13:23:00,6858.4,buy
2022-01-25 13:31:00,6850.0,sell
2022-01-25 13:56:00,6828.4,buy
2022-01-25 14:06:00,6839.4,sell
2022-01-25 14:38:00,6800.6,buy
2022-01-25 14:40:00,6792.8,sell
2022-01-26 09:30:00,6784.8,buy
2022-01-26 09:42:00,6796.6,sell
2022-01-26 09:50:00,6791.2,buy
2022-01-26 09:53:00,6791.8,sell
2022-01-26 10:04:00,6779.6,buy
2022-01-26 10:21:00,6798.4,sell
2022-01-26 10:34:00,6798.2,buy
2022-01-26 10:36:00,6801.4,sell
2022-01-26 10:37:00,6801.8,buy
2022-01-26 10:43:00,6798.2,sell
2022-01-26 10:52:00,6800.8,buy
2022-01-26 10:56:00,6791.4,sell
2022-01-26 11:02:00,6799.6,buy
2022-01-26 11:07:00,6796.4,sell
2022-01-26 11:16:00,6796.8,buy
2022-01-26 11:21:00,6785.6,sell
2022-01-26 13:06:00,6790.0,buy
2022-01-26 13:11:00,6772.4,sell
2022-01-26 13:29:00,6762.6,buy
2022-01-26 13:44:00,6784.6,sell
2022-01-26 13:54:00,6780.6,buy
2022-01-26 13:58:00,6778.0,sell
2022-01-26 14:00:00,6785.2,buy
2022-01-26 14:12:00,6787.2,sell
2022-01-26 14:17:00,6793.8,buy
2022-01-26 14:23:00,6786.0,sell
2022-01-26 14:39:00,6784.4,buy
2022-01-26 14:53:00,6789.0,sell
2022-01-27 09:36:00,6769.0,buy
2022-01-27 09:38:00,6770.4,sell
2022-01-27 09:42:00,6776.2,buy
2022-01-27 09:46:00,6769.6,sell
2022-01-27 10:17:00,6714.8,buy
2022-01-27 10:21:00,6692.6,sell
2022-01-27 10:42:00,6667.2,buy
2022-01-27 10:50:00,6652.0,sell
2022-01-27 10:51:00,6654.4,buy
2022-01-27 10:53:00,6654.2,sell
2022-01-27 10:55:00,6670.0,buy
2022-01-27 11:08:00,6695.6,sell
2022-01-27 11:12:00,6707.2,buy
2022-01-27 11:20:00,6701.8,sell
2022-01-27 13:11:00,6661.8,buy
2022-01-27 13:17:00,6655.0,sell
